123,19,5580981298195,17.738
124,20,5580990811795,17.483
125,21,5581001574495,13.621
126,22,5581010333095,8.572
127,23,5581015992295,17.719
128,24,5581034873596,7.713
129,0,5581039831896,10.764
130,1,5581048236596,14.441
131,2,5581062557196,18.867
132,3,5581080177396,12.496
133,4,5581083465196,15.253
134,5,5581099286197,15.260
135,6,5581102131997,22.870
136,7,5581105532697,27.563
137,8,5581121104697,16.218
138,9,5581129731597,18.782
139,10,5581139860198,14.914
140,11,5581156363298,16.041
141,12,5581160336298,25.009
142,13,5581166135798,29.497
143,14,5581180199798,21.168
144,15,5581192987299,20.069
145,16,5581198622999,28.713
146,17,5581212491599,18.842
147,18,5581221099499,23.047
148,19,5581228371899,21.114
149,20,5581235407999,18.924
150,21,5581249111400,14.479
151,22,5581256829800,12.160
152,23,5581268622100,14.467
153,24,5581286978800,13.811
154,0,5581290058400,19.143
155,1,5581296392200,21.327
156,2,5581308984601,12.532
157,3,5581317297501,18.250
158,4,5581329513501,14.477
159,5,5581337023001,23.198
160,6,5581348243401,19.676
161,7,5581362614002,20.992
162,8,5581368694302,28.507
163,9,5581378633102,23.522
164,10,5581386626902,30.438
165,11,5581420378803,21.162
166,12,5581421203403,21.930
167,13,5581421764603,28.278
168,14,5581432709503,29.045
169,15,5581438962603,28.695
170,16,5581450901803,26.128
171,17,5581456556603,24.658
172,18,5581472447204,14.312
173,19,5581475573404,17.442
174,20,5581487781304,17.366
175,21,5581498142804,18.849
176,22,5581508904204,15.497
177,23,5581515826004,18.529
178,24,5581529759905,13.740
179,0,5581541975405,11.004
180,1,5581548843205,10.141
181,2,5581556985305,7.075
182,3,5581565722305,13.885
183,4,5581577169406,12.410
184,5,5581590051606,9.098
185,6,5581599552106,7.058
186,7,5581608805106,9.878
187,8,5581617189706,8.613
188,9,5581628266707,6.164
189,10,5581635385507,6.814
190,11,5581646944607,9.617
191,12,5581662027807,4.991
192,13,5581665652607,5.340
193,14,5581677986907,5.198
194,15,5581686486208,9.610
195,16,5581695556308,5.942
196,17,5581706340308,6.976
197,18,5581715344508,6.168
198,19,5581725694308,4.835
199,20,5581735965208,4.864
200,21,5581745219609,7.422
201,22,5581757307609,3.783
202,23,5581765792809,9.334
203,24,5581775923309,7.581
204,0,5581786200409,7.780
205,1,5581795518110,4.308
206,2,5581805048110,3.033
207,3,5581816316910,5.046
208,4,5581826434010,8.366
209,5,5581836321610,5.461
210,6,5581845768010,5.296
211,7,5581857924511,5.237
212,8,5581866655811,7.433
213,9,5581876771311,4.182
214,10,5581885644011,5.746
215,11,5581895292311,6.381
216,12,5581906878412,8.466
217,13,5581916663712,10.667
218,14,5581927781012,8.341
219,15,5581935819612,4.889
