528,20,779800734740,9.816
529,21,779820598141,10.400
530,22,779840780042,10.287
531,23,779859922943,11.173
532,24,779880341045,10.100
533,0,779900872546,9.561
534,1,779920972547,10.897
535,2,779940990448,10.976
536,3,779959921650,10.024
537,4,779980140951,11.487
538,5,780000494152,10.131
539,6,780020618654,9.320
540,7,780040127555,9.895
541,8,780060267456,10.001
542,9,780079873357,9.980
543,10,780100877359,9.572
544,11,780120317860,8.955
545,12,780140198661,9.253
546,13,780159905362,9.254
547,14,780180195064,9.007
548,15,780200314765,9.234
549,16,780220118766,9.707
550,17,780240337768,8.985
551,18,780260117269,9.411
552,19,780280072470,9.961
553,20,780300114471,9.195
554,21,780319751973,8.721
555,22,780340199474,11.077
556,23,780365095376,9.860
557,24,780380329577,9.348
558,0,780400621578,10.463
559,1,780420522079,8.753
560,2,780440070080,9.954
561,3,780460205582,10.089
562,4,780480558783,9.907
563,5,780500489784,11.331
564,6,780521234986,12.859
565,7,780540999287,11.598
566,8,780560626588,12.624
567,9,780580448789,10.737
568,10,780601138991,9.803
569,11,780620383792,10.670
570,12,780640132693,10.777
571,13,780660292294,10.022
572,14,780680312096,12.949
573,15,780701367997,15.456
574,16,780721697298,23.116
575,17,780745707600,23.152
576,18,780769087801,31.702
577,19,780787320403,26.260
578,20,780806639804,22.212
579,21,780824936305,17.048
580,22,780844298806,14.446
581,23,780861428207,10.819
582,24,780880395509,9.574
583,0,780900790710,9.255
584,1,780923585211,11.746
585,2,780940414612,10.781
586,3,780960648514,10.093
587,4,780980023315,9.761
588,5,781000579316,9.398
589,6,781019976117,9.411
590,7,781039858619,9.847
591,8,781059924020,9.390
592,9,781080710221,16.107
593,10,781101299923,10.627
594,11,781121609524,12.524
595,12,781141091625,11.445
596,13,781160531726,12.220
597,14,781180801728,20.547
598,15,781201737129,11.072
599,16,781220545230,11.152
600,17,781240281532,10.554
601,18,781260347033,12.138
602,19,781280040734,10.953
603,20,781301391235,11.480
604,21,781320046937,10.599
605,22,781340211938,11.364
606,23,781360583739,13.204
607,24,781379764641,13.829
608,0,781401757142,9.758
609,1,781421565743,10.148
610,2,781440153144,9.610
611,3,781461458646,10.183
612,4,781479994647,9.723
613,5,781501039548,9.673
614,6,781520810250,10.184
615,7,781540220451,10.454
616,8,781560697352,10.002
617,9,781580483953,9.636
618,10,781601658155,9.916
619,11,781620412056,10.794
620,12,781640887757,10.014
621,13,781660137058,9.867
622,14,781680104060,10.813
623,15,781700536761,9.198
624,16,781720205262,9.794
625,17,781740368864,9.864
626,18,781761382865,10.193
627,19,781780209666,9.441
628,20,781800464767,8.666
629,21,781820550469,10.660
630,22,781841013470,10.673
631,23,781860930371,10.038
632,24,781881254073,11.582
633,0,781900546074,16.267
634,1,781921732875,14.191
635,2,781941082476,15.794
636,3,781961664678,17.649
637,4,781983403679,17.878
638,5,782005465181,18.944
639,6,782024049782,19.389
640,7,782045170283,22.013
641,8,782061500484,21.152
642,9,782084859886,28.621
643,10,782105339087,21.932
644,11,782122177488,20.402
645,12,782148802590,29.199
646,13,782169645991,25.820
647,14,782186126592,19.304
648,15,782204664293,26.359
649,16,782224654495,23.805
650,17,782246245396,25.928
651,18,782265811097,31.652
652,19,782287365699,25.659
653,20,782305680100,18.107
654,21,782325067701,12.424
655,22,782340891902,13.333
656,23,782360806403,13.487
657,24,782383114505,18.141
658,0,782407709706,25.859
659,1,782426892407,22.695
660,2,782445062409,24.381
661,3,782463538410,32.119
662,4,782484637111,32.074
663,5,782504811712,28.284
664,6,782530354214,33.495
665,7,782549431115,29.611
666,8,782566730216,21.627
667,9,782586928618,23.208
668,10,782606685719,22.802
669,11,782626817220,35.468
670,12,782647749422,29.856
671,13,782670449323,25.607
672,14,782687071324,24.375
673,15,782703215725,23.030
674,16,782721517826,18.154
675,17,782741981128,9.896
676,18,782760607829,9.700
677,19,782780227730,9.741
678,20,782800330231,9.383
679,21,782819990733,9.196
680,22,782839739234,9.922
681,23,782860155935,9.424
682,24,782879845436,10.656
683,0,782900612638,9.340
684,1,782923161239,11.298
685,2,782940437040,10.691
686,3,782960415542,9.997
687,4,782980230643,10.275
688,5,783001760544,10.408
689,6,783021606345,13.494
690,7,783042783947,15.123
691,8,783060313648,15.625
692,9,783081307949,18.383
693,10,783106136651,22.617
694,11,783129234452,22.927
695,12,783150284154,23.791
696,13,783169606655,18.592
697,14,783187056156,26.440
698,15,783205104357,28.603
699,16,783229787159,21.405
700,17,783243751060,23.275
701,18,783267657961,29.495
702,19,783286989762,29.040
703,20,783306698064,25.448
704,21,783328528865,39.546
705,22,783348495666,31.571
706,23,783375464568,22.495
707,24,783385930569,26.001
708,0,783403055770,23.280
709,1,783423054271,12.652
710,2,783441830772,13.488
